 * Serving Flask app "server" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on https://172.31.100.21:5001/ (Press CTRL+C to quit)
172.17.135.218 - - [25/Nov/2023 12:06:16] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:06:16] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:06:16] "OPTIONS /getresult/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:06:16] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:06:16] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:06:16] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:06:17] "GET /getresult/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:06:31] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:06:31] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:07:37] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:07:37] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:08:34] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:08:34] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:09:12] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:09:12] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 13:26:37] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 13:26:37] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 13:27:48] "OPTIONS /postjob HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 13:27:48] "POST /postjob HTTP/1.1" 200 -
